Selector,Status,Source,Context,Drift Count,Session Aging (s)
.alumni__arrow:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid #fff', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.rank-card__source,Isolated Variance,course-template-v2.css,"{'margin': '0', 'color': 'rgba(255, 255, 255, 0.55)', 'font-size': '11px'}",3,0.15
.key-title,Isolated Variance,Foundation Computing Engineering.css,"{'color': '#fff', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '500', 'font-size': '14px', 'line-height': '1.1', 'font-style': 'italic'}",6,0.15
.info-card__title,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0 0 16px', 'font-weight': '700', 'font-size': '15px', 'color': '#0B1020'}",4,0.15
.course-hero__content,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'min-width': '0', 'display': 'flex', 'flex-direction': 'column'}",0,0.15
.footer__social,Isolated Variance,course-template-v2.css,"{'width': '28px', 'height': '28px', 'display': 'grid', 'place-items': 'center', 'background': 'rgba(255, 255, 255, 0.06)', 'border-radius': '8px', 'color': '#fff', 'text-decoration': 'none'}",8,0.15
.footer__link:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid #fff', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.footer__list,Isolated Variance,course-template-v2.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'grid', 'gap': '10px'}",5,0.15
.entry-reqs__assessment-title,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0 0 8px', 'font-weight': '700', 'font-size': '14px', 'color': '#0B1020'}",4,0.15
.ai-native,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'grid-template-columns': '[course-template-v2.css]: repeat(2, 1fr) | [Foundation Computing Engineering.css]: 1fr', 'gap': '[course-template-v2.css]: 12px | [Foundation Computing Engineering.css]: 16px'}",2,0.15
.outcomes__icon--red,Isolated Variance,course-template-v2.css,"{'background': '#FEE2E2', 'color': '#E5252B'}",2,0.15
.section-card,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'border': '[course-template-v2.css]: 1px solid #E6E8EE | [Foundation Computing Engineering.css]: 1px solid #EEF0F5', 'background': '[course-template-v2.css]: #fff | [Foundation Computing Engineering.css]: #FFF'}",2,0.15
.check-list__item::before,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'top': '[course-template-v2.css]: 4px | [Foundation Computing Engineering.css]: 2px', 'background-repeat': '[course-template-v2.css]: no-repeat | [Foundation Computing Engineering.css]: None', 'width': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: 18px', 'height': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: 18px', 'background-image': '[course-template-v2.css]: url(""data:image/svg+xml,%3Csvg xmlns=\'http://www.w3.org/2000/svg\' viewBox=\'0 0 24 24\' fill=\'none\' stroke=\'%2316A34A\' stroke-width=\'3\' stroke-linecap=\'round\' stroke-linejoin=\'round\'%3E%3Cpath d=\'M20 6 9 17l-5-5\'/%3E%3C/svg%3E"") | [Foundation Computing Engineering.css]: None', 'mask': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: url(""data:image/svg+xml,%3Csvg xmlns=\'http://www.w3.org/2000/svg\' viewBox=\'0 0 24 24\' fill=\'none\' stroke=\'%23fff\' stroke-width=\'3\' stroke-linecap=\'round\' stroke-linejoin=\'round\'%3E%3Cpath d=\'M20 6 9 17l-5-5\'/%3E%3C/svg%3E"") center/contain no-repeat', 'background-size': '[course-template-v2.css]: contain | [Foundation Computing Engineering.css]: None', 'background': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: #7C3AED'}",8,0.15
.careers__cards,Isolated Variance,Foundation Computing Engineering.css,"{'display': 'grid', 'grid-template-columns': '1fr', 'gap': '20px'}",3,0.15
.experience__img,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'width': '100%', 'height': '100%', 'object-fit': 'cover'}",0,0.15
.button--secondary-light:hover,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'border-color': '[course-template-v2.css]: #fff | [Foundation Computing Engineering.css]: None', 'background': '[course-template-v2.css]: rgba(255, 255, 255, 0.08) | [Foundation Computing Engineering.css]: rgba(255, 255, 255, 0.16)'}",2,0.15
.button--ghost-dark,Isolated Variance,course-template-v2.css,"{'background': 'rgba(255, 255, 255, 0.06)', 'color': '#fff', 'border-color': 'rgba(255, 255, 255, 0.18)', 'border-radius': '999px'}",4,0.15
.programme__learn-title,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '500', 'font-size': '17px', 'letter-spacing': 'normal', 'line-height': '1.04', 'color': '#7C3AED'}",7,0.15
.experience__desc,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'font-size': '14px', 'color': '#6B7280', 'line-height': '1.5'}",0,0.15
.industry__img,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'min-height': '[course-template-v2.css]: inherit | [Foundation Computing Engineering.css]: None', 'object-fit': '[course-template-v2.css]: cover | [Foundation Computing Engineering.css]: None', 'height': '[course-template-v2.css]: 100% | [Foundation Computing Engineering.css]: None', 'border-radius': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 16px'}",4,0.15
.button--primary-purple:hover,Isolated Variance,Foundation Computing Engineering.css,{'transform': 'translatey(-2px)'},1,0.15
.apply-banner__title,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'line-height': '[course-template-v2.css]: 1.3 | [Foundation Computing Engineering.css]: None', 'font-size': '[course-template-v2.css]: 17px | [Foundation Computing Engineering.css]: 26px', 'flex': '[course-template-v2.css]: 1 | [Foundation Computing Engineering.css]: None', 'letter-spacing': '[course-template-v2.css]: -0.3px | [Foundation Computing Engineering.css]: -0.01em', 'font-weight': '[course-template-v2.css]: 800 | [Foundation Computing Engineering.css]: 700'}",5,0.15
.button--primary-dark,Isolated Variance,course-template-v2.css,"{'background': '#0A1230', 'color': '#fff', 'border-color': 'rgba(255, 255, 255, 0.18)'}",3,0.15
.entry-reqs__note,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '16px 0 0', 'font-size': '14px', 'color': '#4B5563', 'line-height': '1.6'}",4,0.15
.rank-card__label,Isolated Variance,course-template-v2.css,"{'margin': '0 0 12px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-size': '14px', 'font-weight': '700', 'line-height': '1.3'}",5,0.15
.progression,Isolated Variance,Foundation Computing Engineering.css,"{'background': 'linear-gradient(135deg, #8B5CF6 0%, #7C3AED 60%, #6D28D9 100%)', 'border-radius': '16px', 'padding': '24px', 'color': '#fff'}",4,0.15
img,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'display': 'block', 'max-width': '100%', 'height': 'auto'}",0,0.15
.section-card__subtitle,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '28px 0 20px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '22px', 'letter-spacing': '-0.01em', 'color': '#0B1020'}",6,0.15
.key-facts__body,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'min-width': '0'},0,0.15
.rank-card,Isolated Variance,course-template-v2.css,"{'width': '100%', 'max-width': '220px', 'padding': '20px 16px', 'background': 'rgba(27, 38, 88, 0.85)', 'border': '1px solid rgba(255, 255, 255, 0.08)', 'border-radius': '12px', 'color': '#fff', 'text-align': 'center'}",8,0.15
.entry-reqs__text,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0', 'font-size': '15px', 'color': '#4B5563', 'line-height': '1.65'}",4,0.15
.brand,Isolated Variance,course-template-v2.css,"{'display': 'inline-block', 'line-height': '0', 'text-decoration': 'none'}",3,0.15
.user-custom--main,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.section-header__badge,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'flex-shrink': '0', 'width': '30px', 'height': '30px', 'display': 'inline-grid', 'place-items': 'center', 'background': 'linear-gradient(135deg, #8B5CF6 0%, #7C3AED 100%)', 'color': '#fff', 'border-radius': '999px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '14px', 'line-height': '1'}",0,0.15
.wrap,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'max-width': '1280px', 'margin': '0 auto', 'padding': '0 32px'}",0,0.15
.course-hero__tagline,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0 0 20px', 'max-width': '960px', 'color': '#fff', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '22px', 'letter-spacing': '-0.3px', 'line-height': '1.04'}",0,0.15
.key-facts__icon,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'flex-shrink': '0', 'width': '36px', 'height': '36px', 'display': 'grid', 'place-items': 'center', 'background': 'rgba(255, 255, 255, 0.06)', 'border': '1px solid rgba(255, 255, 255, 0.1)', 'border-radius': '8px', 'color': '#F5B100'}",0,0.15
.topbar__icon-btn:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid #fff', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.button,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'white-space': '[course-template-v2.css]: nowrap | [Foundation Computing Engineering.css]: None', 'line-height': '[course-template-v2.css]: 1 | [Foundation Computing Engineering.css]: None', 'transition': '[course-template-v2.css]: transform 0.15s ease, box-shadow 0.2s ease, background 0.2s ease, border-color 0.2s ease, color 0.2s ease | [Foundation Computing Engineering.css]: transform 0.2s ease, box-shadow 0.2s ease, background 0.2s ease', 'padding': '[course-template-v2.css]: 14px 22px | [Foundation Computing Engineering.css]: 12px 20px', 'font-family': '[course-template-v2.css]: inherit | [Foundation Computing Engineering.css]: ""Manrope"", system-ui, -apple-system, sans-serif', 'gap': '[course-template-v2.css]: 10px | [Foundation Computing Engineering.css]: 8px', 'letter-spacing': '[course-template-v2.css]: 0.2px | [Foundation Computing Engineering.css]: None', 'font-size': '[course-template-v2.css]: 13px | [Foundation Computing Engineering.css]: 15px', 'justify-content': '[course-template-v2.css]: center | [Foundation Computing Engineering.css]: None', 'border': '[course-template-v2.css]: 1.5px solid transparent | [Foundation Computing Engineering.css]: 0'}",10,0.15
.section-header__sub,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '6px 0 0', 'color': '#4B5563', 'font-size': '14px'}",0,0.15
.alumni__person,Isolated Variance,course-template-v2.css,{'min-width': '0'},1,0.15
.user-custom--footer,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.section-header--compact,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'margin-bottom': '20px'},0,0.15
.button--primary-pink,Isolated Variance,course-template-v2.css,"{'background': 'linear-gradient(90deg, #FF2D87, #FF4FA1)', 'color': '#fff', 'box-shadow': '0 4px 18px rgba(255, 45, 135, 0.35)', 'border-radius': '999px'}",4,0.15
.footer__socials,Isolated Variance,course-template-v2.css,"{'display': 'flex', 'gap': '10px'}",2,0.15
.user-custom--programme,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.progression__intro,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '12px 0 16px', 'font-size': '14px', 'line-height': '1.55', 'color': 'rgba(255, 255, 255, 0.92)'}",4,0.15
.outcomes__label,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-size': '14px', 'color': '#6B7280', 'line-height': '1.4'}",4,0.15
.user-custom--outcomes,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.ai-native__img,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'min-height': '[course-template-v2.css]: inherit | [Foundation Computing Engineering.css]: None'},1,0.15
.in-demand__eyebrow,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0 0 12px', 'text-transform': 'uppercase', 'font-size': '11px', 'font-weight': '800', 'letter-spacing': '1.8px', 'color': '#6D28D9'}",0,0.15
.alumni__head,Isolated Variance,course-template-v2.css,"{'display': 'flex', 'align-items': 'center', 'gap': '12px'}",3,0.15
.alumni__nav,Isolated Variance,course-template-v2.css,"{'display': 'flex', 'gap': '8px'}",2,0.15
.topbar,Isolated Variance,course-template-v2.css,"{'position': 'relative', 'z-index': '5', 'padding': '18px 40px', 'display': 'grid', 'grid-template-columns': 'auto 1fr auto', 'align-items': 'center', 'gap': '32px', 'max-width': '1280px', 'margin': '0 auto'}",9,0.15
.alumni__name,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '14px', 'color': '#fff'}",5,0.15
.outcomes__icon--blue,Isolated Variance,course-template-v2.css,"{'background': '#DBEAFE', 'color': '#1F5CFF'}",2,0.15
.footer__grid,Isolated Variance,course-template-v2.css,"{'display': 'grid', 'grid-template-columns': '1fr 1fr', 'gap': '24px'}",3,0.15
.topbar__nav-link:hover,Isolated Variance,course-template-v2.css,"{'opacity': '1', 'color': '#B8C7FF'}",2,0.15
.footer__col-title,Isolated Variance,course-template-v2.css,"{'margin': '0 0 18px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '11px', 'letter-spacing': '1.8px', 'line-height': '1.04', 'text-transform': 'uppercase', 'color': 'rgba(255, 255, 255, 0.55)'}",8,0.15
.footer__link:hover,Isolated Variance,course-template-v2.css,{'color': '#fff'},1,0.15
.programme,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'align-items': '[course-template-v2.css]: stretch | [Foundation Computing Engineering.css]: None', 'gap': '[course-template-v2.css]: 24px | [Foundation Computing Engineering.css]: 20px'}",2,0.15
.ai-native__item,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'border': '[course-template-v2.css]: 1px solid #E6E8EE | [Foundation Computing Engineering.css]: 1px solid #EEF0F5', 'transition': '[course-template-v2.css]: transform 0.2s ease, box-shadow 0.2s ease, border-color 0.2s ease | [Foundation Computing Engineering.css]: None', 'padding': '[course-template-v2.css]: 20px 16px | [Foundation Computing Engineering.css]: 20px', 'border-radius': '[course-template-v2.css]: 12px | [Foundation Computing Engineering.css]: 16px', 'box-shadow': '[course-template-v2.css]: 0 1px 3px rgba(13, 20, 55, 0.05), 0 4px 12px rgba(13, 20, 55, 0.04) | [Foundation Computing Engineering.css]: None', 'background': '[course-template-v2.css]: #fff | [Foundation Computing Engineering.css]: #F8F9FC'}",6,0.15
.industry__note,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '16px 0 0', 'font-size': '12px', 'color': '#4B5563', 'line-height': '1.55'}",4,0.15
.footer__brand,Isolated Variance,course-template-v2.css,{'grid-column': '1/-1'},1,0.15
.industry__media,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'min-height': '[course-template-v2.css]: 240px | [Foundation Computing Engineering.css]: None', 'overflow': '[course-template-v2.css]: hidden | [Foundation Computing Engineering.css]: None', 'width': '[course-template-v2.css]: 100% | [Foundation Computing Engineering.css]: None', 'border-radius': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: None'}",4,0.15
.section-header__badge--on-purple,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'background': '#fff', 'color': '#6D28D9'}",0,0.15
.advisor__method-label,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-size': '12px', 'font-weight': '700', 'color': '#fff', 'line-height': '1.3'}",0,0.15
.user-custom--dark .section-header__title,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'color': '#fff'},0,0.15
.ai-native__icon,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'margin-bottom': '[course-template-v2.css]: 12px | [Foundation Computing Engineering.css]: 16px', 'width': '[course-template-v2.css]: 48px | [Foundation Computing Engineering.css]: 44px', 'height': '[course-template-v2.css]: 48px | [Foundation Computing Engineering.css]: 44px', 'border-radius': '[course-template-v2.css]: 8px | [Foundation Computing Engineering.css]: 12px'}",4,0.15
.brand__tag,Isolated Variance,course-template-v2.css,"{'display': 'block', 'margin-top': '4px', 'font-size': '5px', 'font-weight': '700', 'letter-spacing': '0.15px', 'line-height': '1.3'}",6,0.15
.course-hero__lede,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'max-width': '[course-template-v2.css]: 600px | [Foundation Computing Engineering.css]: 700px'},1,0.15
.section-link:hover,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'text-decoration': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: underline', 'color': '[course-template-v2.css]: #6D28D9 | [Foundation Computing Engineering.css]: None'}",2,0.15
.career-roles__item:hover,Isolated Variance,course-template-v2.css,"{'transform': 'translatey(-3px)', 'box-shadow': '0 1px 2px rgba(13, 20, 55, 0.04), 0 8px 24px rgba(13, 20, 55, 0.06)', 'border-color': '#C9D3FF'}",3,0.15
.industry__col--lavender,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'padding': '[course-template-v2.css]: 24px | [Foundation Computing Engineering.css]: None', 'border-radius': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: None'}",2,0.15
.alumni__avatar,Isolated Variance,course-template-v2.css,"{'width': '100%', 'height': '100%', 'object-fit': 'cover'}",3,0.15
.advisor__method-icon,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'width': '36px', 'height': '36px', 'margin': '0 auto 8px', 'display': 'grid', 'place-items': 'center', 'background': 'rgba(255, 255, 255, 0.1)', 'border-radius': '999px', 'color': '#fff'}",0,0.15
.course-main,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'padding': '[course-template-v2.css]: 48px 0 | [Foundation Computing Engineering.css]: 56px 0'},1,0.15
.info-card__text + .info-card__text,Isolated Variance,Foundation Computing Engineering.css,{'margin-top': '12px'},1,0.15
".programme__intro, .programme__learn",Isolated Variance,course-template-v2.css,"{'display': 'flex', 'flex-direction': 'column', 'gap': '20px'}",3,0.15
.in-demand__num,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0 0 12px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '52px', 'letter-spacing': '-0.5px', 'color': '#6D28D9', 'line-height': '1'}",0,0.15
.key-facts__meta,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '2px 0 0', 'color': 'rgba(255, 255, 255, 0.6)', 'font-size': '11px'}",0,0.15
.outcomes__icon--amber,Isolated Variance,course-template-v2.css,"{'background': '#FEF3C7', 'color': '#F5B100'}",2,0.15
.user-custom--progression,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.ai-native__item:hover,Isolated Variance,course-template-v2.css,"{'transform': 'translatey(-3px)', 'box-shadow': '0 1px 2px rgba(13, 20, 55, 0.04), 0 8px 24px rgba(13, 20, 55, 0.06)', 'border-color': '#EDE9FE'}",3,0.15
.check-list__item,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'font-size': '[course-template-v2.css]: 14px | [Foundation Computing Engineering.css]: 15px'},1,0.15
.alumni__eyebrow,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-size': '10px', 'font-weight': '800', 'letter-spacing': '2px', 'color': '#B5A0FF', 'text-transform': 'uppercase'}",6,0.15
.advisor,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'background': 'linear-gradient(135deg, #8B5CF6 0%, #7C3AED 60%, #6D28D9 100%)', 'border-radius': '20px', 'padding': '30px', 'color': '#fff', 'box-shadow': '0 6px 20px rgba(124, 58, 237, 0.35)', 'display': 'flex', 'flex-direction': 'column', 'gap': '20px'}",0,0.15
.progression__item::before,Isolated Variance,Foundation Computing Engineering.css,"{'content': '""""', 'position': 'absolute', 'left': '0', 'top': '3px', 'width': '15px', 'height': '15px', 'background': '#fff', 'mask': 'url(""data:image/svg+xml,%3Csvg xmlns=\'http://www.w3.org/2000/svg\' viewBox=\'0 0 24 24\' fill=\'none\' stroke=\'%23fff\' stroke-width=\'3\' stroke-linecap=\'round\' stroke-linejoin=\'round\'%3E%3Cpath d=\'M20 6 9 17l-5-5\'/%3E%3C/svg%3E"") center/contain no-repeat'}",8,0.15
.career-roles__icon--blue,Isolated Variance,course-template-v2.css,"{'background': '#E8F0FE', 'color': '#1F5CFF'}",2,0.15
.footer__copyright,Isolated Variance,course-template-v2.css,{'margin': '0'},1,0.15
.career-roles__item,Isolated Variance,course-template-v2.css,"{'background': '#fff', 'border': '1px solid #E6E8EE', 'border-radius': '12px', 'padding': '20px 12px', 'text-align': 'center', 'box-shadow': '0 1px 3px rgba(13, 20, 55, 0.05), 0 4px 12px rgba(13, 20, 55, 0.04)', 'transition': 'transform 0.2s ease, box-shadow 0.2s ease, border-color 0.2s ease', 'display': 'flex', 'flex-direction': 'column', 'align-items': 'center', 'justify-content': 'center'}",11,0.15
.advisor__method:hover,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'background': 'rgba(255, 255, 255, 0.18)', 'transform': 'translatey(-1px)'}",0,0.15
.progression__list,Isolated Variance,Foundation Computing Engineering.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'flex', 'flex-direction': 'column', 'gap': '8px'}",6,0.15
.outcomes__icon--purple,Isolated Variance,course-template-v2.css,"{'background': '#EDE9FE', 'color': '#7C3AED'}",2,0.15
.footer__list-item,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.course-hero__cta,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'width': '100%'},0,0.15
